customerkey,gender,name,city,state_code,state,zip_code,country,continent,birthday,age,age_group
301,female,lilly_harding,wandearah_east,sa,south_australia,5523,australia,australia,1939-07-03,87,65+
325,female,madison_hull,mount_budd,wa,western_australia,6522,australia,australia,1979-09-27,47,46-55
554,female,claire_ferres,winjallok,vic,victoria,3380,australia,australia,1947-05-26,79,65+
786,male,jai_poltpalingada,middle_river,sa,south_australia,5223,australia,australia,1957-09-17,69,65+
1042,male,aidan_pankhurst,tawonga_south,vic,victoria,3698,australia,australia,1965-11-19,61,56-65
1086,male,hayden_clegg,templers,sa,south_australia,5371,australia,australia,1954-01-20,72,65+
1133,male,nicholas_caffyn,jubilee_pocket,qld,queensland,4802,australia,australia,1969-11-22,57,56-65
1256,male,lincoln_jenks,kullogum,qld,queensland,4660,australia,australia,1950-03-12,76,65+
1314,male,isaac_israel,edith_river,nt,northern_territory,852,australia,australia,1965-12-21,61,56-65
1568,male,luke_virtue,kotta,vic,victoria,3565,australia,australia,1975-07-25,51,46-55
1585,female,anna_hallstrom,green_lake,vic,victoria,3401,australia,australia,1990-08-12,36,36-45
1626,female,mary_leach,neds_corner,vic,victoria,3496,australia,australia,1985-10-17,41,36-45
1642,female,ruby_ambrose,tarlo,nsw,new_south_wales,2580,australia,australia,1965-03-03,61,56-65
1677,male,dean_innes,ellesmere,qld,queensland,4610,australia,australia,1964-11-22,62,56-65
1817,female,laura_le_rennetel,beauchamp,vic,victoria,3579,australia,australia,1986-07-10,40,36-45
1863,female,chelsea_watkins,nambour_dc,qld,queensland,4560,australia,australia,1984-09-22,42,36-45
1945,male,angus_beaurepaire,greenfields,wa,western_australia,6210,australia,australia,1974-09-20,52,46-55
2238,female,isabelle_cochran,brucknell,vic,victoria,3268,australia,australia,1969-10-31,57,56-65
2248,male,rory_spargo,jung,vic,victoria,3401,australia,australia,1987-12-15,39,36-45
2435,female,lilian_hall,blakebrook,nsw,new_south_wales,2480,australia,australia,1968-04-01,58,56-65
2469,female,phoebe_kneeshaw,bidwill,qld,queensland,4650,australia,australia,1948-05-20,78,65+
2512,female,matilda_hake,bunkers_hill,vic,victoria,3352,australia,australia,1992-11-13,34,26-35
2604,female,claudia_davison,kubin_village,qld,queensland,4875,australia,australia,1995-04-08,31,26-35
2751,male,nate_lowes,callide,qld,queensland,4715,australia,australia,1979-08-20,47,46-55
2792,male,zachary_perkin,bamganie,vic,victoria,3333,australia,australia,1976-08-25,50,46-55
2836,male,nicholas_shand,gordonbrook,qld,queensland,4610,australia,australia,1959-02-23,67,65+
3002,male,joshua_aronson,smithton,tas,tasmania,7330,australia,australia,2000-11-08,26,26-35
3006,female,alica_stuckey,hartley,nsw,new_south_wales,2790,australia,australia,1943-01-13,83,65+
3203,male,aidan_kane,argenton,nsw,new_south_wales,2284,australia,australia,1998-08-18,28,26-35
3270,male,hunter_templeton,central_tilba,nsw,new_south_wales,2546,australia,australia,1948-05-02,78,65+
3327,female,alannah_le_messurier,konongwootong,vic,victoria,3315,australia,australia,1948-04-28,78,65+
3410,male,will_armitage,bollon,qld,queensland,4488,australia,australia,1950-05-12,76,65+
3575,male,noah_mcfarland,hoppers_crossing,vic,victoria,3029,australia,australia,1942-03-04,84,65+
3964,female,rose_code,dixie,vic,victoria,3265,australia,australia,1944-02-16,82,65+
4004,female,piper_wrixon,wyalla_plaza,qld,queensland,4350,australia,australia,1995-06-24,31,26-35
4174,female,rebecca_yelverton,ocean_reef,wa,western_australia,6027,australia,australia,1990-10-05,36,36-45
4633,female,victoria_brown,keysland,qld,queensland,4612,australia,australia,1964-01-08,62,56-65
4734,male,justin_felan,parmelia,wa,western_australia,6167,australia,australia,1946-02-13,80,65+
4808,male,jamie_evenden,haywards_bay,nsw,new_south_wales,2530,australia,australia,1944-06-28,82,65+
4811,male,brayden_bulcock,widgiemooltha,wa,western_australia,6443,australia,australia,1994-12-21,32,26-35
5097,female,bella_foley,mount_pleasant,qld,queensland,4740,australia,australia,1942-11-13,84,65+
5445,male,jake_clibborn,reefton,vic,victoria,3799,australia,australia,1952-09-10,74,65+
5962,male,aiden_dugdale,swan_bay,nsw,new_south_wales,2324,australia,australia,1938-11-17,88,65+
6193,female,lara_cassidy,regency_park,sa,south_australia,5010,australia,australia,1945-12-27,81,65+
6242,male,cody_grosse,koomberkine,wa,western_australia,6461,australia,australia,1964-02-10,62,56-65
6258,male,zac_hull,sandford,vic,victoria,3312,australia,australia,1976-07-03,50,46-55
6308,male,taj_sexton,kooreh,vic,victoria,3478,australia,australia,2001-02-15,25,18-25
6459,male,mitchell_leigh,keilor_downs,vic,victoria,3038,australia,australia,1942-05-24,84,65+
6794,female,abby_hyam,calder,tas,tasmania,7325,australia,australia,1971-02-06,55,46-55
7109,male,hamish_bolton,lankeys_creek,nsw,new_south_wales,2644,australia,australia,1979-11-15,47,46-55
7122,female,lara_virtue,higginsville,wa,western_australia,6443,australia,australia,1999-08-13,27,26-35
